subject_uuid,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_strain,subject_source,protocol_number,subject_description,subject_ts
38ac0165-7418-4514-9d2d-ef40d4384fa4,SWC_019,F,2019-07-09,NA (Front HP),C57BL/6J,,Charles River,4,ID: 980129,2020-01-13 23:39:21
3ac4e413-b47d-4a62-bc32-c8689fe9b61b,SWC_042,M,2019-12-11,R,C57BL/6J,,Charles River,1,,2020-09-24 00:07:34
3b6b41b6-68bb-4a9a-bfeb-5f8cf97a1c2a,ZM_1745,M,2019-02-24,,C57BL/6J,,Jax,3,,2019-09-18 01:17:37
3eee82bf-8ccf-42ac-9e26-472caed5f265,NYU-02,M,2018-12-18,2,,,,1,,2020-01-13 23:39:23
406b8a6e-89fd-44da-961b-9335b12f3bfa,SWC_016,F,2019-05-07,LR (Front HP),C57BL/6J,,Charles River,4,ID: 968401,2020-01-13 23:39:24
41583c63-9f18-4f43-a53d-eb5388afd1b1,CSH_ZAD_015,F,2019-11-12,RL,C57BL/6J,,Jax,3,,2020-09-24 00:07:34
41b65a70-aad6-417b-8c3c-754a74a0a814,ibl_witten_29,M,2020-09-29,,C57BL/6J,C57BL/6J,Jax,3,,2021-01-14 17:07:38
44eaff6b-1ede-422d-badc-2e82e866516b,SWC_040,F,2019-12-11,R,C57BL/6J,,Charles River,4,,2020-09-24 00:07:34
475acc5f-64f7-4f28-9722-5f60ce553f91,DY_007,M,2019-03-20,none,C57BL/6J,,Jax,3,,2020-01-13 23:39:26
49f39a32-1874-4d52-a733-fa08d5a89ce6,ZFM-02369,M,2020-12-20,e stripes,C57BL/6J,C57BL/6J,Charles River,3,,2021-03-02 04:08:29
4ba96259-4afe-42fa-89b6-f2f8d361bf44,ZM_1095,M,2018-10-23,RLF,C57BL/6J,,Jax,3,,2020-01-13 23:39:28
4c9577b3-bdd5-4a15-b15b-5bc24a4439d3,CSHL_002,M,2018-11-20,left ear,C57BL/6J,,Jax,3,,2019-09-18 01:17:37
4da27ff8-c79f-4137-b673-1a9ce9c0b655,ibl_witten_26,M,2020-06-09,,,C57BL/6J,Jax,3,,2020-09-28 22:44:25
4db0b36d-9b85-4cae-8d93-a68998c581fc,SWC_013,M,2019-06-04,NA (Front HP),C57BL/6J,,Charles River,4,ID: 980125,2020-01-13 23:39:28
4db14483-21ff-4102-a71f-07434e8a1396,KS021,M,2019-06-25,,C57BL/6J,,,3,,2020-01-13 23:39:29
4dc08527-efd9-41c7-b907-f610f3ad41ae,CSH_ZAD_004,F,2019-04-16,RR,C57BL/6J,,Jax,3,,2020-01-13 23:39:29
4e2695cb-77c4-44a5-a059-80b1ea9c75ab,DY_014,M,2019-10-28,none,C57BL/6J,,Jax,3,,2020-09-24 00:07:34
4eb8afda-a4d9-4314-8956-cdf773223fe5,ZM_1897,F,2019-06-10,LF,C57BL/6J,,Charles River,1,Blinded experiment.,2020-01-13 23:39:30
4ebed911-f6c9-4c11-866f-31e26f191a5b,CSHL058,M,2019-10-15,LR,C57BL/6J,,Jax,3,,2020-01-13 23:39:30
4f091667-90b9-4469-88f4-542c1ec07891,CSHL_008,F,2018-11-27,left right,C57BL/6J,,Jax,3,,2020-01-13 23:39:30
5240e410-0881-46d6-a27d-eeeb90afadeb,SWC_004,M,2019-02-05,L (Front HP),C57BL/6J,,Charles River,4,ID: 919174,2020-01-13 23:39:31
52c7c8d1-4d10-4437-a762-56adb8c5bf19,KS034,M,2019-12-10,,C57BL/6J,,,1,,2020-09-24 00:07:34
544583b3-bc39-41b8-93ac-1506494d9859,CSHL051,F,2019-08-13,R,C57BL/6J,,Jax,3,,2020-01-13 23:39:32
54e403fc-2454-47be-a7d9-838355c4d8ab,NYU-25,M,2020-01-07,,C57BL/6J,,Jax,1,,2020-09-24 00:07:35
54edfc98-ce84-471c-94a3-c748552fbc22,ibl_witten_03,M,2018-07-17,,,,,1,,2020-01-13 23:39:32
562b327c-fd1d-4554-b608-c7de08c5849c,SWC_008,F,2019-03-27,LR (Front HP),C57BL/6J,,Charles River,4,ID: 945775,2020-01-13 23:39:33
5644f7a6-e206-4da3-bd35-81d0f32153bb,NYU-13,F,2019-08-27,13,,,,1,,2020-01-13 23:39:33
56c9ce96-6af7-4cae-94a2-8a077e3e3e11,CSH_ZAD_026,M,2020-03-31,R,C57BL/6J,C57BL/6J,Jax,3,,2020-06-03 04:43:24
5848e7f4-447d-42eb-9676-c914740df807,CSHL_006,F,2018-11-27,R,C57BL/6J,,Jax,3,,2020-01-13 23:39:34
59f00bed-b488-4bb5-8e46-0d37f9215805,UCLA011,M,2021-02-02,LR,,C57BL/6J,Jax,3,,2021-04-17 06:49:18
5b2518f5-e579-4d4f-ac18-41fdfdc5e409,SWC_006,M,2019-03-27,NA (Mid HP),C57BL/6J,,Charles River,4,ID: 945771,2020-01-13 23:39:35
5ba2da46-8213-4dd1-ac4e-3dc1eafd7141,KS025,F,2019-06-25,,C57BL/6J,,,3,,2020-01-13 23:39:35
5cff8b1f-288e-4725-83b6-d2f9b6c7ab45,SWC_021,F,2019-07-09,L (Rear HP),C57BL/6J,,Charles River,4,ID: 980127,2020-01-13 23:39:35
5d06c208-8443-45c6-9761-0a459e92c748,DY_020,M,2020-05-13,none,C57BL/6J,C57BL/6J,Jax,3,,2020-07-24 05:00:01
5df6e2f2-cc8e-486f-a23d-219125e496fa,ZM_1085,M,2018-10-23,RF,C57BL/6J,,Jax,3,,2019-09-18 01:17:37
5f02a7b6-b6cc-4690-8b21-ec34a384f0e6,SWC_027,M,2019-08-16,none,,,,1,,2020-01-13 23:39:37
5f17f30c-e525-4931-b8e4-6054cf277987,UCLA037,M,2021-07-28,,,,,1,,2021-11-24 02:17:34
5f756084-afaf-4c88-96b5-ed29401dbd2f,CSH_ZAD_011,F,2019-09-17,none,C57BL/6J,,Jax,3,,2020-01-13 23:39:37
5f7d4e8d-37d7-48cf-97e5-24121285adb9,ZM_1087,M,2018-10-23,RB,C57BL/6J,,Jax,3,,2020-01-13 23:39:37
5fb794b7-3151-4910-8a09-e6daa8383cc3,NYU-37,M,2020-08-31,,C57BL/6J,C57BL/6J,,1,,2020-11-10 06:43:49
